Country,Crop,Year,Area_harvested_ha,Production_tonnes,Yield_kg_per_ha,Rainfall_mm,Temperature_C,Price_USD_per_tonne,Policy_Flag,Transport_Cost_USD,Demand_Supply_Gap
Algeria,"Almonds, in shell",2020,34542.0,60832.0,1761.1,80.20878465307703,16.65036805957476,477.51,Subsidy,1823.89,-2741.69
Algeria,"Almonds, in shell",2021,32492.0,55448.0,1706.5,56.89402201192456,11.64910568973606,488.62,Subsidy,4647.35,1674.01
Algeria,"Almonds, in shell",2022,38495.0,66232.31,1720.5,42.57214105188958,30.364593512363815,495.92,Subsidy,5795.78,8669.91
Algeria,"Almonds, in shell",2023,38544.0,69637.53,1806.7,58.57875426380331,22.328630949036494,488.78,Subsidy,4358.99,-11273.18
Algeria,Apples,2020,33025.0,566823.5,17163.5,80.20878465307703,16.65036805957476,631.53,Subsidy,17072.33,-54704.44
Algeria,Apples,2021,31171.0,522317.0,16756.3,56.89402201192456,11.64910568973606,639.12,Subsidy,25888.08,96885.89
Algeria,Apples,2022,32636.0,549391.71,16834.0,42.57214105188958,30.364593512363815,647.05,Subsidy,44223.11,35793.27
Algeria,Apples,2023,32149.0,575880.85,17912.9,58.57875426380331,22.328630949036494,649.84,Subsidy,27519.34,-52067.15
Algeria,Apricots,2020,29719.0,187273.2,6301.5,80.20878465307703,16.65036805957476,522.91,Subsidy,11027.88,21115.26
Algeria,Apricots,2021,27185.0,189724.0,6979.1,56.89402201192456,11.64910568973606,541.34,Subsidy,7367.2,2433.52
Algeria,Apricots,2022,29765.0,205996.35,6920.7,42.57214105188958,30.364593512363815,547.92,Subsidy,17293.4,34698.85
Algeria,Apricots,2023,28965.0,200566.42,6924.5,58.57875426380331,22.328630949036494,539.96,Subsidy,18297.57,-5284.19
Algeria,Artichokes,2020,5830.0,126762.2,21743.1,80.20878465307703,16.65036805957476,677.33,Subsidy,4557.26,-3300.95
Algeria,Artichokes,2021,5656.0,120932.0,21383.1,56.89402201192456,11.64910568973606,685.38,Subsidy,1368.11,-23337.14
