Country,Crop,Year,Area_harvested_ha,Production_tonnes,Yield_kg_per_ha
Algeria,"Almonds, in shell",2020,34542.0,60832.0,1761.1
Algeria,"Almonds, in shell",2021,32492.0,55448.0,1706.5
Algeria,"Almonds, in shell",2022,38495.0,66232.31,1720.5
Algeria,"Almonds, in shell",2023,38544.0,69637.53,1806.7
Algeria,Apples,2020,33025.0,566823.5,17163.5
Algeria,Apples,2021,31171.0,522317.0,16756.3
Algeria,Apples,2022,32636.0,549391.71,16834.0
Algeria,Apples,2023,32149.0,575880.85,17912.9
Algeria,Apricots,2020,29719.0,187273.2,6301.5
Algeria,Apricots,2021,27185.0,189724.0,6979.1
Algeria,Apricots,2022,29765.0,205996.35,6920.7
Algeria,Apricots,2023,28965.0,200566.42,6924.5
Algeria,Artichokes,2020,5830.0,126762.2,21743.1
Algeria,Artichokes,2021,5656.0,120932.0,21383.1
Algeria,Artichokes,2022,5543.0,124352.88,22434.8
Algeria,Artichokes,2023,6019.0,139912.08,23246.3
Algeria,Bananas,2020,10.0,234.99,24620.2
Algeria,Bananas,2021,9.0,232.73,24597.3
Algeria,Bananas,2022,10.0,236.75,24649.3
Algeria,Bananas,2023,10.0,234.82,24622.4
Algeria,Barley,2020,978114.0,1213137.0,1240.3
Algeria,Barley,2021,525631.0,555364.0,1056.6
Algeria,Barley,2022,1025000.0,1000000.0,975.6
Algeria,Barley,2023,1025000.0,1000000.0,975.6
Algeria,"Beans, dry",2020,1981.0,2047.8,1033.7
Algeria,"Beans, dry",2021,3817.0,3613.0,946.6
Algeria,"Beans, dry",2022,2916.0,2744.52,941.2
Algeria,"Beans, dry",2023,2629.0,2500.19,951.0
Algeria,"Beer of barley, malted",2020,,135000.0,
Algeria,"Beer of barley, malted",2021,,180000.0,
Algeria,"Beer of barley, malted",2022,,150800.0,
Algeria,"Broad beans and horse beans, dry",2020,39849.0,49856.7,1251.1
Algeria,"Broad beans and horse beans, dry",2021,37440.0,39629.0,1058.5
Algeria,"Broad beans and horse beans, dry",2022,36466.0,44653.39,1224.5
